dico1,medianctrl7
"5-Glutamyl-10Fthf Transport, Lysosomal",0
"5-Glutamyl-10Fthf Transport, Mitochondrial",0
"6-Glutamyl-10Fthf Transport, Lysosomal",0
"6-Glutamyl-10Fthf Transport, Mitochondrial",0
"7-Glutamyl-10Fthf Transport, Lysosomal",1.12215476788974
"7-Glutamyl-10Fthf Transport, Mitochondrial",0.332323351560495
"10-Formyltetrahydrofolate Lysosomal Transport via Diffusion",-1.12215476788375
"10-Formyltetrahydrofolate Mitochondrial Transport via Diffusion",0
"11-Deoxycortisol Intracellular Transport",0
"11-Deoxycortisol Intracellular Transport",0
"11-Deoxycorticosterone Intracellular Transport",0
"11-Deoxycorticosterone Intracellular Transport",0
"1, 3-Diaminopropane:Oxygen Oxidoreductase (Deaminating)",1.06915183770769
"1-Alpha-Vitamin D-24, 25-Hydroxylase (D2)",0
"1-Alpha, 24R, 25-Vitamin D-Hydroxylase (D2)",0
"N1-Methylnicotinamide Transport",0
"Delta1-Piperideine-2-Carboxylate Reductase, Perixosomal",0
"24, 25-Dihydroxyvitamin D2 Transport from Cytoplasm",0
"24, 25-Dihydroxyvitamin D2 Transport from Mitochondria",0
"24, 25-Dihydroxyvitamin D3 Transport from Cytoplasm",0
"24, 25-Dihydroxyvitamin D3 Transport from Mitochondria",0
"24R-Vitamin D-25-Hydroxylase (D2)",0
"24R-Vitamin D-25-Hydroxylase (D3)",0
"Transport of Xenobiotic",0
"25-Hydroxyvitamin D2 Transport from Cytoplasm",0
"25-Hydroxyvitamin D2 Transport in Mitochondria",0
"25-Hydroxyvitamin D3 Transport from Cytoplasm",0
"25-Hydroxyvitamin D3 Transport in Mitochondria",0
"1-Alpha-Vitamin D-25-Hydroxylase (D2)",0
"1-Alpha-Vitamin D-25-Hydroxylase (D3)",0
"2-Aminoacrylate Hydrolysis",0
"2-Aminoacrylate Sulfotransferase",0
"L-2-Aminoadipate Shuttle (Cytosol/Mitochondria)",0
"2-Deoxy-D-Ribose 1-Phosphate Phosphorylase",0
"2-Hydroxybutyrate:NAD+ Oxidoreductase",-557.809409151199
"2-Hydroxybutyrate Symport with Proton",-860.539632194269
"Bicarbonate Transport (Na/Hco3 1:2 Symport)",-962.249545316378
"2-Methylcitrate Transport via Diffusion",0
"2-Oxoadipate:Lipoamde 2-Oxidoreductase (Decarboxylating And Acceptor-Succinylating), Mitochondrial",0
"2-Oxoadipate Shuttle (Cytosol/Mitochondria)",0
"3, 4-Dihydroxyphenylethyleneglycol:NAD+ Oxidoreductase",0
"3, 4-Dihydroxyphenylethyleneglycol Transport (Diffusion)",0
"3, 4-Dihydroxyphenylacetate:Amet O-Methyltransferase",1.09269594519325
"3, 4-Dihydroxy-L-Phenylalanine Transport",0
"3, 4-Dihydroxyphenylacetaldehyde:NAD+ Oxidoreductase",8.05085301140546
"3, 4-Dihydroxyphenylacetaldehyde:NADP+ Oxidoreductase",-6.60672180014894
"3, 4-Dihydroxymandelaldehyde:NAD+ Oxidoreductase",22.1362736162258
"3, 4-Dihydroxymandelaldehyde:NADP+ Oxidoreductase",-22.1362736162284
"3- (4-Hydroxyphenyl-)Lactate Formation",0.0802046990665312
"4-Hydroxyphenylpyruvate:Oxygen Oxidoreductase",0
"35CGMP Nuclear Transport",0
"L-3-Aminoisobutyrate Transaminase, Mitochondrial",0
"3-Amino-Isobutyrate Transport, Mitochondrial",0
"Hydroxylation of 3-Decaprenyl-4-Hydroxybenzoate (NADH)",0.0802046990684955
"Hydroxylation of 3-Decaprenyl-4-Hydroxybenzoate (NADPH)",0
"3-Dehydrosphinganine Reductase",13.1322276409119
"3-Hydroxyanthranilate 3, 4-Dioxygenase",0
"3-Hydroxybutyryl Coenzyme A Dehydratase, Mitochondrial",0
"3-Hydroxyisobutyryl Coenzyme A Hydrolase, Mitochondrial",4.32816281985562
"3-Hydroxy-L-Kynurenine:2-Oxoglutarate Aminotransferase",0
"3-Hydroxy-L-Tyrosine Carboxy-Lyase",0
"3-Methoxy-4-Hydroxyphenylacetaldehyde:NAD+ Oxidoreductase",0
"3Mlda Extracellular Transport via Diffusion",0
"3-Methyl-2-Oxobutanoate Mitochondrial Transport via Proton Symport",0
"3-Methyl-2-Oxopentanoate Mitochondrial Transport via Proton Symport",0
"3-Methoxy-4-Hydroxyphenylglycolaldehyde:NAD+ Oxidoreductase",5.38058510179216
"3-Methoxy-4-Hydroxyphenylglycolaldehyde:NADP+ Oxidoreductase",-5.38058510179399
"3-Methoxytyramine:Oxygen Oxidoreductase (Deaminating)",0
"Cysteinesulfinate-Aspartate Mitochondrial Shuttle",0
"3-Sulfino-L-Alanine Carboxy-Lyase",0
"Cysteinesulfinic Acid Oxidase",0
"3-Sulfino-Alanine Transaminase (Irreversible)",0
"3-Sulfino-Alanine Transaminase (Irreversible), Mitochondrial",0
"3-Sulfinopyruvate Hydrolase (Spotaneous Reaction)",0
"3-Sulfinopyruvate Hydrolase (Spotaneous Reaction), Mitochondrial",0
"4-[ (1R)-1-Hydroxy-2- (Methylamino)Ethyl]-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",0
"4-[ (1R)-2-Amino-1-Hydroxyethyl]-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",0
"4- (2-Aminoethyl)-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",4.96790196486343
"4-Aminobutanoate Mitochondrial Transport via Diffusion",0
"4-Hydroxybenzoyl Coenzyme A Formation",0.0802046990665385
"4-Hydroxybenzoate Formation",0.0802046990669095
"Transport of Xenobiotic",0
"L-4-Hydroxyglutamate Semialdehyde Dehydrogenase, Mitochondrial",0
"4-Hydroxyphenylacetaldehyde:NADP+ Oxidoreductase",-70.1211017650348
"4-Methyl-2-Oxopentanoate Mitochondrial Transport via Proton Symport",0
"4-Methylpentanal Transport",0
"4-Methylpentanal Transport, Mitochondrial",0
"Transport of Xenobiotic",0
"Transport of Xenobiotic",0
"4-Nitrophenol Sulfotransferase",0
"Transport of Xenobiotic",0
"4-Pyridoxal Secretion",0
"Glucuronidated Compound Transport",0
"Glucuronidated Compound Transport",0
"Sulfonated Testosterone Transport",0
"5Alpha-Dihydrotestosterone Sulfotransferase",0
"5 Alpha Dihydrotesterone Transport",0
"5 Alpha Dihydrotesterone Intracellular Transport",0
"5-Aminolevulinate Mitochondrial Transport",-15.7058140907045
"5-Glutamyl-Dhf Transport, Lysosomal",0
"5-Formyltetrahydrofolate Transport via Anion Exchange",0
"5-Hydroxy-L-Tryptophan Decarboxy-Lyase",0
"Transport of Xenobiotic",0
"5-Hydroxyindoleacetaldehyde:Oxygen Oxidoreductase",0
"5-Hydroxytryptamine:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",0
"5-Hydroxy-L-Tryptophan Secretion via Secretory Vesicle (ATP Driven)",0
"5-Methyltetrahydrofolate Transport via Receptor Binding And Protolysis",0
"5-Methyltetrahydrofolate Transport via Anion Exchange",0
"5-Glutamyl-Thf Transport, Lysosomal",0
"5-Glutamyl-Thf Transport, M Mitochondrial",0
"6-Glutamyl-Dhf Transport, Lysosomal",0
"6-Glutamyl-Dhf Transport, M Mitochondrial",0
"Hydroxylated Testosterone Transport",0
"Hydroxylated Testosterone Transport",0
"6-Glutamyl-Thf Transport, Lysosomal",0
"6-Glutamyl-Thf Transport, M Mitochondrial",0
"Cholesterol Precursor Intracellular Transport",0
"7-Glutamyl-Dhf Transport, Lysosomal",1.32963077698655
"7-Glutamyl-Dhf Transport, M Mitochondrial",0.258956290451889
"7-Glutamyl-Thf Transport, Lysosomal",0
"7-Glutamyl-Thf Transport, M Mitochondrial",0.287818823458806
"Alpha-Mannosidase, Lysosomal",0
"Lactosylceramide 4-Alpha-Galactosyltransferase",0
"Lactosylceramide 4-Alpha-Galactosyltransferase",0
"Alpha 1, 4-N-Acetylglucosaminyltransferase, Golgi Apparatus",0
"Alpha 1, 4-N-Acetylglucosaminyltransferase, Golgi Apparatus",0
"Aminoacetone:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",0
"Aminoacetone Transport, Mitochondrial",0
"L-Aminoadipate-Semialdehyde Dehydrogenase (NADH), Mitochondrial",0
"2-Aminoadipate Transaminase, Irreversible",0
"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",0
"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",0
"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",0
"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",0
"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",0
"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",0
"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",0
"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",0
"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",0
"4-Aminobutyrate Transaminase, Reversible, Mitochondrial",0
"L-Arabinitol 4-Dehydrogenase",0
"L-Arabinitol Transport via Passive Diffusion",0
"4-Aminobutyrate Reversible Transport in via Proton Symport, Lysosomal",0
"4-Aminobutyrate Reversible Transport in via Sodium Symport (1:2)",0
"Acetyl Coenzyme A C-Acetyltransferase, Mitochondrial",100.637021791251
"Acetyl Coenzyme A C-Acetyltransferase, Mitochondrial",0
"Acetyl Coenzyme A C-Acetyltransferase",2.70868665212047
"Acetoacetate Mitochondrial Transport via H+ Symport",-47.1789704548927
"Acetyl Coenzyme A C-Acetyltransferase (Octanoyl Coenzyme A), Peroxisomal",1.17066604833351
"Acetyl Coenzyme A C-Acyltransferase (Decanoyl Coenzyme A), Peroxisomal",3.34779771587925
"Acetyl Coenzyme A C-Acetyltransferase (Dodecanoyl), Peroxisomal",3.88539788889627
"Acetyl Coenzyme A Acyltransferase (Tetradecanoyl Coenzyme A), Peroxisomal",3.88539788889444
"Acetyl Coenzyme A Acyltransferase (Hexadecanoyl Coenzyme A), Peroxisomal",0.421766682232708
"Acetyl Coenzyme A Acyltransferase (Tetracosanoyl Coenzyme A), Peroxisomal",0.421766682234751
"Acetoacetate Intracellular Transport Unknown Mechanism",-7.19087475495461
"Acetaldehyde Mitochondrial Diffusion",-3.22883407866705
"Acetaldehyde Reversible Transport, Endoplasmatic Reticulum",0
"Acetaldehyde Peroxisomal Diffusion",0
